"","x"
"1","ENSP00000009530"
"2","ENSP00000053867"
"3","ENSP00000215886"
"4","ENSP00000218388"
"5","ENSP00000220166"
"6","ENSP00000221466"
"7","ENSP00000225777"
"8","ENSP00000227163"
"9","ENSP00000229332"
"10","ENSP00000229829"
"11","ENSP00000230990"
"12","ENSP00000240617"
"13","ENSP00000242057"
"14","ENSP00000247153"
"15","ENSP00000248598"
"16","ENSP00000248975"
"17","ENSP00000254868"
"18","ENSP00000259053"
"19","ENSP00000259874"
"20","ENSP00000261267"
"21","ENSP00000261733"
"22","ENSP00000262262"
"23","ENSP00000262428"
"24","ENSP00000262629"
"25","ENSP00000262878"
"26","ENSP00000263341"
"27","ENSP00000263867"
"28","ENSP00000264474"
"29","ENSP00000266659"
"30","ENSP00000268389"
"31","ENSP00000271450"
"32","ENSP00000278568"
"33","ENSP00000280357"
"34","ENSP00000286301"
"35","ENSP00000289902"
"36","ENSP00000291700"
"37","ENSP00000293778"
"38","ENSP00000295025"
"39","ENSP00000301242"
"40","ENSP00000301244"
"41","ENSP00000302046"
"42","ENSP00000302569"
"43","ENSP00000306512"
"44","ENSP00000306866"
"45","ENSP00000319281"
"46","ENSP00000330959"
"47","ENSP00000332049"
"48","ENSP00000338728"
"49","ENSP00000338927"
"50","ENSP00000339328"
"51","ENSP00000339398"
"52","ENSP00000340874"
"53","ENSP00000341610"
"54","ENSP00000344218"
"55","ENSP00000345494"
"56","ENSP00000346032"
"57","ENSP00000348461"
"58","ENSP00000351497"
"59","ENSP00000353099"
"60","ENSP00000353344"
"61","ENSP00000356465"
"62","ENSP00000356713"
"63","ENSP00000356832"
"64","ENSP00000357055"
"65","ENSP00000357097"
"66","ENSP00000357123"
"67","ENSP00000357149"
"68","ENSP00000357152"
"69","ENSP00000357153"
"70","ENSP00000357801"
"71","ENSP00000358099"
"72","ENSP00000360730"
"73","ENSP00000362329"
"74","ENSP00000362924"
"75","ENSP00000363512"
"76","ENSP00000363804"
"77","ENSP00000363869"
"78","ENSP00000363976"
"79","ENSP00000364076"
"80","ENSP00000364080"
"81","ENSP00000364114"
"82","ENSP00000365048"
"83","ENSP00000365227"
"84","ENSP00000365261"
"85","ENSP00000365596"
"86","ENSP00000366460"
"87","ENSP00000366694"
"88","ENSP00000368450"
"89","ENSP00000369286"
"90","ENSP00000369538"
"91","ENSP00000376372"
"92","ENSP00000376889"
"93","ENSP00000377055"
"94","ENSP00000378786"
"95","ENSP00000378856"
"96","ENSP00000379097"
"97","ENSP00000379997"
"98","ENSP00000381448"
"99","ENSP00000386165"
"100","ENSP00000387164"
"101","ENSP00000390431"
"102","ENSP00000392770"
"103","ENSP00000393566"
"104","ENSP00000394863"
"105","ENSP00000398890"
"106","ENSP00000403117"
"107","ENSP00000406157"
"108","ENSP00000407375"
"109","ENSP00000408146"
"110","ENSP00000409555"
"111","ENSP00000430237"
"112","ENSP00000444561"
"113","ENSP00000444957"
"114","ENSP00000444986"
"115","ENSP00000446007"
"116","ENSP00000451112"
"117","ENSP00000451712"
"118","ENSP00000455897"
"119","ENSP00000461945"
"120","ENSP00000471493"
"121","ENSP00000480824"
"122","ENSP00000485010"
"123","ENSP00000348635"
"124","ENSP00000482571"
"125","ENSP00000329880"
"126","ENSP00000357594"
"127","ENSP00000394227"
"128","ENSP00000423563"
"129","ENSP00000427223"
