"","x"
"246","ENSP00000272641"
"247","ENSP00000273063"
"248","ENSP00000273173"
"249","ENSP00000273450"
"250","ENSP00000274024"
"251","ENSP00000274181"
"252","ENSP00000274278"
"253","ENSP00000274353"
"254","ENSP00000274368"
"255","ENSP00000274382"
"256","ENSP00000274487"
"257","ENSP00000274547"
"258","ENSP00000274673"
"259","ENSP00000274721"
"260","ENSP00000274938"
"261","ENSP00000275230"
"262","ENSP00000275300"
"263","ENSP00000275560"
"264","ENSP00000275764"
"265","ENSP00000275815"
"266","ENSP00000276173"
"267","ENSP00000276616"
"268","ENSP00000276651"
"269","ENSP00000277120"
"270","ENSP00000278780"
"271","ENSP00000278947"
"272","ENSP00000279027"
"273","ENSP00000279168"
"274","ENSP00000279178"
"275","ENSP00000280057"
"276","ENSP00000280155"
"277","ENSP00000280295"
"278","ENSP00000280481"
"279","ENSP00000280706"
"280","ENSP00000281030"
"281","ENSP00000281043"
"282","ENSP00000281087"
"283","ENSP00000281156"
"284","ENSP00000281171"
"285","ENSP00000281243"
"286","ENSP00000281282"
"287","ENSP00000281441"
"288","ENSP00000281961"
"289","ENSP00000282020"
"290","ENSP00000282326"
"291","ENSP00000282466"
"292","ENSP00000282507"
"293","ENSP00000282538"
"294","ENSP00000282572"
"295","ENSP00000283243"
"296","ENSP00000283249"
"297","ENSP00000283254"
"298","ENSP00000283309"
"299","ENSP00000283426"
"300","ENSP00000284136"
"301","ENSP00000284440"
"302","ENSP00000284486"
"303","ENSP00000284694"
"304","ENSP00000285018"
"305","ENSP00000285393"
"306","ENSP00000286479"
"307","ENSP00000286574"
"308","ENSP00000288167"
"309","ENSP00000288221"
"310","ENSP00000288228"
"311","ENSP00000289004"
"312","ENSP00000289547"
"313","ENSP00000289932"
"314","ENSP00000290015"
"315","ENSP00000290167"
"316","ENSP00000290399"
"317","ENSP00000290583"
"318","ENSP00000290953"
"319","ENSP00000291670"
"320","ENSP00000292401"
"321","ENSP00000292430"
"322","ENSP00000292513"
"323","ENSP00000293414"
"324","ENSP00000293599"
