"","x"
"246","ENSP00000268035"
"247","ENSP00000268129"
"248","ENSP00000268379"
"249","ENSP00000268607"
"250","ENSP00000268699"
"251","ENSP00000268712"
"252","ENSP00000268797"
"253","ENSP00000269143"
"254","ENSP00000269159"
"255","ENSP00000269466"
"256","ENSP00000269571"
"257","ENSP00000270112"
"258","ENSP00000270517"
"259","ENSP00000270570"
"260","ENSP00000271227"
"261","ENSP00000271234"
"262","ENSP00000271636"
"263","ENSP00000272252"
"264","ENSP00000273158"
"265","ENSP00000273179"
"266","ENSP00000273359"
"267","ENSP00000273375"
"268","ENSP00000273450"
"269","ENSP00000273588"
"270","ENSP00000273590"
"271","ENSP00000273963"
"272","ENSP00000273980"
"273","ENSP00000274605"
"274","ENSP00000275227"
"275","ENSP00000276390"
"276","ENSP00000276461"
"277","ENSP00000276585"
"278","ENSP00000276590"
"279","ENSP00000276689"
"280","ENSP00000277165"
"281","ENSP00000277225"
"282","ENSP00000277554"
"283","ENSP00000277865"
"284","ENSP00000277895"
"285","ENSP00000278193"
"286","ENSP00000278590"
"287","ENSP00000279206"
"288","ENSP00000280082"
"289","ENSP00000280098"
"290","ENSP00000280346"
"291","ENSP00000280481"
"292","ENSP00000280701"
"293","ENSP00000280772"
"294","ENSP00000280886"
"295","ENSP00000281031"
"296","ENSP00000281182"
"297","ENSP00000281243"
"298","ENSP00000281282"
"299","ENSP00000281537"
"300","ENSP00000282007"
"301","ENSP00000282030"
"302","ENSP00000282041"
"303","ENSP00000282276"
"304","ENSP00000282892"
"305","ENSP00000283027"
"306","ENSP00000283351"
"307","ENSP00000284031"
"308","ENSP00000284202"
"309","ENSP00000284437"
"310","ENSP00000284476"
"311","ENSP00000285021"
"312","ENSP00000285039"
"313","ENSP00000285083"
"314","ENSP00000285093"
"315","ENSP00000285379"
"316","ENSP00000285393"
"317","ENSP00000286544"
"318","ENSP00000286548"
"319","ENSP00000286918"
"320","ENSP00000287008"
"321","ENSP00000287295"
"322","ENSP00000287936"
"323","ENSP00000288022"
"324","ENSP00000288050"
"325","ENSP00000288135"
"326","ENSP00000288139"
"327","ENSP00000288167"
"328","ENSP00000288266"
"329","ENSP00000288774"
"330","ENSP00000288985"
"331","ENSP00000289081"
"332","ENSP00000290079"
"333","ENSP00000290429"
"334","ENSP00000290913"
"335","ENSP00000290949"
"336","ENSP00000290974"
"337","ENSP00000291670"
"338","ENSP00000292079"
"339","ENSP00000292246"
"340","ENSP00000292314"
"341","ENSP00000292385"
"342","ENSP00000292401"
"343","ENSP00000293217"
"344","ENSP00000293883"
"345","ENSP00000294016"
"346","ENSP00000294053"
"347","ENSP00000294258"
"348","ENSP00000294304"
"349","ENSP00000294353"
"350","ENSP00000294952"
"351","ENSP00000295213"
"352","ENSP00000295408"
"353","ENSP00000295491"
"354","ENSP00000295767"
"355","ENSP00000295797"
"356","ENSP00000295802"
"357","ENSP00000295888"
"358","ENSP00000295958"
"359","ENSP00000296137"
"360","ENSP00000296149"
"361","ENSP00000296233"
"362","ENSP00000296252"
"363","ENSP00000296411"
"364","ENSP00000296412"
"365","ENSP00000296424"
"366","ENSP00000296456"
"367","ENSP00000296464"
"368","ENSP00000296522"
"369","ENSP00000296776"
"370","ENSP00000296805"
"371","ENSP00000297029"
"372","ENSP00000297151"
"373","ENSP00000297613"
"374","ENSP00000297837"
"375","ENSP00000298248"
"376","ENSP00000298552"
"377","ENSP00000298569"
"378","ENSP00000298910"
"379","ENSP00000298912"
"380","ENSP00000299138"
"381","ENSP00000299155"
"382","ENSP00000299339"
"383","ENSP00000299518"
"384","ENSP00000299575"
"385","ENSP00000299697"
"386","ENSP00000299752"
"387","ENSP00000300051"
"388","ENSP00000300079"
"389","ENSP00000300086"
"390","ENSP00000300087"
"391","ENSP00000300107"
"392","ENSP00000300213"
"393","ENSP00000300404"
"394","ENSP00000300456"
"395","ENSP00000300557"
"396","ENSP00000300605"
"397","ENSP00000301281"
"398","ENSP00000301329"
"399","ENSP00000301454"
"400","ENSP00000301463"
"401","ENSP00000301547"
"402","ENSP00000301729"
"403","ENSP00000301764"
"404","ENSP00000301891"
"405","ENSP00000302579"
"406","ENSP00000302801"
"407","ENSP00000303158"
"408","ENSP00000303222"
"409","ENSP00000303356"
"410","ENSP00000303507"
"411","ENSP00000303525"
"412","ENSP00000303758"
"413","ENSP00000303928"
"414","ENSP00000304697"
"415","ENSP00000305069"
"416","ENSP00000305193"
"417","ENSP00000305302"
"418","ENSP00000305373"
"419","ENSP00000305426"
"420","ENSP00000305442"
"421","ENSP00000305459"
"422","ENSP00000305533"
"423","ENSP00000305918"
"424","ENSP00000305988"
"425","ENSP00000306124"
"426","ENSP00000306344"
"427","ENSP00000306397"
"428","ENSP00000306425"
"429","ENSP00000306459"
"430","ENSP00000306564"
"431","ENSP00000306670"
"432","ENSP00000306888"
"433","ENSP00000307241"
"434","ENSP00000307265"
"435","ENSP00000307741"
"436","ENSP00000307786"
"437","ENSP00000307858"
"438","ENSP00000307940"
"439","ENSP00000308122"
"440","ENSP00000308938"
"441","ENSP00000309142"
"442","ENSP00000309161"
"443","ENSP00000309198"
"444","ENSP00000309285"
"445","ENSP00000309457"
"446","ENSP00000309477"
"447","ENSP00000309548"
"448","ENSP00000309570"
"449","ENSP00000310226"
"450","ENSP00000310623"
"451","ENSP00000310661"
"452","ENSP00000310670"
"453","ENSP00000311165"
"454","ENSP00000311224"
"455","ENSP00000311318"
"456","ENSP00000311648"
