"","x"
"246","ENSP00000385451"
"247","ENSP00000385735"
"248","ENSP00000385763"
"249","ENSP00000386165"
"250","ENSP00000388337"
"251","ENSP00000391397"
"252","ENSP00000394485"
"253","ENSP00000397157"
"254","ENSP00000397435"
"255","ENSP00000399805"
"256","ENSP00000403536"
"257","ENSP00000404296"
"258","ENSP00000404854"
"259","ENSP00000405573"
"260","ENSP00000405950"
"261","ENSP00000406261"
"262","ENSP00000406293"
"263","ENSP00000409544"
"264","ENSP00000410269"
"265","ENSP00000411613"
"266","ENSP00000412927"
"267","ENSP00000416066"
"268","ENSP00000416330"
"269","ENSP00000416583"
"270","ENSP00000417142"
"271","ENSP00000417626"
"272","ENSP00000418009"
"273","ENSP00000419088"
"274","ENSP00000420168"
"275","ENSP00000420612"
"276","ENSP00000423014"
"277","ENSP00000423665"
"278","ENSP00000426119"
"279","ENSP00000430598"
"280","ENSP00000433560"
"281","ENSP00000435585"
"282","ENSP00000436607"
"283","ENSP00000436897"
"284","ENSP00000437402"
"285","ENSP00000441126"
"286","ENSP00000441283"
"287","ENSP00000441434"
"288","ENSP00000444561"
"289","ENSP00000445175"
"290","ENSP00000446007"
"291","ENSP00000446252"
"292","ENSP00000447300"
"293","ENSP00000447730"
"294","ENSP00000449404"
"295","ENSP00000452245"
"296","ENSP00000457243"
"297","ENSP00000459451"
"298","ENSP00000463978"
"299","ENSP00000465295"
"300","ENSP00000478425"
"301","ENSP00000478570"
"302","ENSP00000480483"
"303","ENSP00000482515"
"304","ENSP00000482613"
"305","ENSP00000483430"
"306","ENSP00000316881"
"307","ENSP00000254878"
"308","ENSP00000264161"
"309","ENSP00000298295"
"310","ENSP00000304642"
"311","ENSP00000307292"
"312","ENSP00000320337"
"313","ENSP00000333019"
"314","ENSP00000356093"
"315","ENSP00000359991"
"316","ENSP00000361728"
"317","ENSP00000369699"
"318","ENSP00000375267"
"319","ENSP00000384564"
"320","ENSP00000392368"
"321","ENSP00000398736"
"322","ENSP00000420939"
"323","ENSP00000440765"
"324","ENSP00000441417"
"325","ENSP00000476176"
"326","ENSP00000482169"
"327","ENSP00000482445"
"328","ENSP00000483985"
