"","x"
"246","ENSP00000377411"
"247","ENSP00000377549"
"248","ENSP00000377833"
"249","ENSP00000378426"
"250","ENSP00000378669"
"251","ENSP00000378699"
"252","ENSP00000378786"
"253","ENSP00000378856"
"254","ENSP00000379003"
"255","ENSP00000379038"
"256","ENSP00000379873"
"257","ENSP00000380948"
"258","ENSP00000381072"
"259","ENSP00000381581"
"260","ENSP00000382026"
"261","ENSP00000382800"
"262","ENSP00000382828"
"263","ENSP00000382941"
"264","ENSP00000384999"
"265","ENSP00000385057"
"266","ENSP00000385452"
"267","ENSP00000385689"
"268","ENSP00000386911"
"269","ENSP00000387356"
"270","ENSP00000389289"
"271","ENSP00000389414"
"272","ENSP00000389588"
"273","ENSP00000389814"
"274","ENSP00000391583"
"275","ENSP00000393566"
"276","ENSP00000393832"
"277","ENSP00000398083"
"278","ENSP00000398568"
"279","ENSP00000399168"
"280","ENSP00000399421"
"281","ENSP00000400376"
"282","ENSP00000403902"
"283","ENSP00000404833"
"284","ENSP00000404854"
"285","ENSP00000405950"
"286","ENSP00000406261"
"287","ENSP00000407323"
"288","ENSP00000411355"
"289","ENSP00000412461"
"290","ENSP00000416293"
"291","ENSP00000423665"
"292","ENSP00000423822"
"293","ENSP00000429344"
"294","ENSP00000430656"
"295","ENSP00000430950"
"296","ENSP00000431284"
"297","ENSP00000432218"
"298","ENSP00000433138"
"299","ENSP00000434515"
"300","ENSP00000437402"
"301","ENSP00000441434"
"302","ENSP00000441691"
"303","ENSP00000442464"
"304","ENSP00000444986"
"305","ENSP00000445175"
"306","ENSP00000446007"
"307","ENSP00000451752"
"308","ENSP00000454623"
"309","ENSP00000457243"
"310","ENSP00000457539"
"311","ENSP00000460871"
"312","ENSP00000463978"
"313","ENSP00000472474"
"314","ENSP00000472929"
"315","ENSP00000478570"
"316","ENSP00000479580"
"317","ENSP00000479870"
"318","ENSP00000480987"
"319","ENSP00000483570"
"320","ENSP00000483786"
"321","ENSP00000484431"
"322","ENSP00000484928"
"323","ENSP00000319883"
"324","ENSP00000379042"
"325","ENSP00000382731"
"326","ENSP00000427114"
"327","ENSP00000233047"
"328","ENSP00000251595"
"329","ENSP00000327431"
"330","ENSP00000330074"
"331","ENSP00000333019"
"332","ENSP00000365172"
"333","ENSP00000369609"
"334","ENSP00000385479"
"335","ENSP00000405338"
"336","ENSP00000428657"
"337","ENSP00000457421"
"338","ENSP00000479243"
"339","ENSP00000479284"
"340","ENSP00000480826"
"341","ENSP00000482169"
